use_mrd,use_rrd,use_we,use_sp,experiment_no,accuracy,mae
y,n,n,n,0,0.8649835345773875,0.21792618565011418
n,y,n,n,0,0.8649835345773875,0.17763503764756736
n,n,y,n,0,0.8825466520307355,1.1280119514232474
n,n,n,y,0,0.8649835345773875,0.03807106598984771
y,y,n,n,0,0.8649835345773875,0.14019155280881812
y,n,y,n,0,0.8781558726673985,1.886830945190516
y,n,n,y,0,0.8693743139407245,0.8624366942573586
n,y,y,n,0,0.8990120746432492,1.277019212234145
n,y,n,y,0,0.8649835345773875,0.17763394239250435
n,n,y,y,0,0.8770581778265643,0.9752939664589089
y,y,y,n,0,0.8957189901207464,1.1646372807299363
y,y,n,y,0,0.8649835345773875,0.1405277961131588
y,n,y,y,0,0.8869374313940724,1.2413095161601233
n,y,y,y,0,0.8792535675082327,0.821901304375763
y,y,y,y,0,0.8825466520307355,1.8482297757501769
